study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB34967	SAMEA6101604	ERX3601449	ERR3605924	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/004/ERR3605924/ERR3605924_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/004/ERR3605924/ERR3605924_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605924/UWI_1_L100_S361_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605924/UWI_1_L100_S361_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/004/ERR3605924
PRJEB34967	SAMEA6101605	ERX3601450	ERR3605925	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/005/ERR3605925/ERR3605925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/005/ERR3605925/ERR3605925_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605925/UWI_2_L101_S362_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605925/UWI_2_L101_S362_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/005/ERR3605925
PRJEB34967	SAMEA6101606	ERX3601451	ERR3605926	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/006/ERR3605926/ERR3605926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/006/ERR3605926/ERR3605926_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605926/UWI_3_L103_S363_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605926/UWI_3_L103_S363_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/006/ERR3605926
PRJEB34967	SAMEA6101607	ERX3601452	ERR3605927	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/007/ERR3605927/ERR3605927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/007/ERR3605927/ERR3605927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605927/UWI_4_L104_S364_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605927/UWI_4_L104_S364_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/007/ERR3605927
PRJEB34967	SAMEA6101608	ERX3601453	ERR3605928	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/008/ERR3605928/ERR3605928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/008/ERR3605928/ERR3605928_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605928/UWI_5_L105_S365_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605928/UWI_5_L105_S365_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/008/ERR3605928
PRJEB34967	SAMEA6101609	ERX3601454	ERR3605929	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/009/ERR3605929/ERR3605929_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/009/ERR3605929/ERR3605929_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605929/UWI_6_L106_S366_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605929/UWI_6_L106_S366_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/009/ERR3605929
PRJEB34967	SAMEA6101610	ERX3601455	ERR3605930	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3605930/ERR3605930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3605930/ERR3605930_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605930/UWI_7_L107_S367_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605930/UWI_7_L107_S367_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/000/ERR3605930
PRJEB34967	SAMEA6101611	ERX3601456	ERR3605931	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/001/ERR3605931/ERR3605931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/001/ERR3605931/ERR3605931_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605931/UWI_8_L108_S368_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605931/UWI_8_L108_S368_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/001/ERR3605931
PRJEB34967	SAMEA6101612	ERX3601457	ERR3605932	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/002/ERR3605932/ERR3605932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/002/ERR3605932/ERR3605932_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605932/UWI_9_H200_S369_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605932/UWI_9_H200_S369_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/002/ERR3605932
PRJEB34967	SAMEA6101613	ERX3601458	ERR3605933	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/003/ERR3605933/ERR3605933_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/003/ERR3605933/ERR3605933_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605933/UWI_10_H202_S370_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605933/UWI_10_H202_S370_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/003/ERR3605933
PRJEB34967	SAMEA6101614	ERX3601459	ERR3605934	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/004/ERR3605934/ERR3605934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/004/ERR3605934/ERR3605934_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605934/UWI_11_H203_S371_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605934/UWI_11_H203_S371_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/004/ERR3605934
PRJEB34967	SAMEA6101615	ERX3601460	ERR3605935	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/005/ERR3605935/ERR3605935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/005/ERR3605935/ERR3605935_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605935/UWI_12_H204_S372_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605935/UWI_12_H204_S372_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/005/ERR3605935
PRJEB34967	SAMEA6101616	ERX3601461	ERR3605936	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/006/ERR3605936/ERR3605936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/006/ERR3605936/ERR3605936_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605936/UWI_13_H205_S373_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605936/UWI_13_H205_S373_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/006/ERR3605936
PRJEB34967	SAMEA6101617	ERX3601462	ERR3605937	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/007/ERR3605937/ERR3605937_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/007/ERR3605937/ERR3605937_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605937/UWI_14_H206_S374_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605937/UWI_14_H206_S374_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/007/ERR3605937
PRJEB34967	SAMEA6101618	ERX3601463	ERR3605938	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/008/ERR3605938/ERR3605938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/008/ERR3605938/ERR3605938_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605938/UWI_15_H207_S375_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605938/UWI_15_H207_S375_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/008/ERR3605938
PRJEB34967	SAMEA6101619	ERX3601464	ERR3605939	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/009/ERR3605939/ERR3605939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/009/ERR3605939/ERR3605939_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605939/UWI_16_H208_S376_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605939/UWI_16_H208_S376_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/009/ERR3605939
PRJEB34967	SAMEA6101620	ERX3601465	ERR3605940	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3605940/ERR3605940_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/000/ERR3605940/ERR3605940_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605940/UWI_17_H209_S377_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605940/UWI_17_H209_S377_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/000/ERR3605940
PRJEB34967	SAMEA6101621	ERX3601466	ERR3605941	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/001/ERR3605941/ERR3605941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR360/001/ERR3605941/ERR3605941_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605941/UWI_18_H210_S378_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR360/ERR3605941/UWI_18_H210_S378_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR360/001/ERR3605941
