study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB34744	SAMEA6084777	ERX3592275	ERR3596481	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/001/ERR3596481/ERR3596481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/001/ERR3596481/ERR3596481_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596481/1-PE-P11-1_S1_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596481/1-PE-P11-1_S1_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/001/ERR3596481
PRJEB34744	SAMEA6084778	ERX3592276	ERR3596482	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/002/ERR3596482/ERR3596482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/002/ERR3596482/ERR3596482_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596482/2-PE-P23-1_S2_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596482/2-PE-P23-1_S2_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/002/ERR3596482
PRJEB34744	SAMEA6084779	ERX3592277	ERR3596483	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/003/ERR3596483/ERR3596483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/003/ERR3596483/ERR3596483_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596483/3-PE-P35-1_S3_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596483/3-PE-P35-1_S3_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/003/ERR3596483
PRJEB34744	SAMEA6084780	ERX3592278	ERR3596484	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/004/ERR3596484/ERR3596484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/004/ERR3596484/ERR3596484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596484/4-PE-P47-1_S4_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596484/4-PE-P47-1_S4_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/004/ERR3596484
PRJEB34744	SAMEA6084781	ERX3592279	ERR3596485	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/005/ERR3596485/ERR3596485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/005/ERR3596485/ERR3596485_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596485/5-PE-P59-1_S5_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596485/5-PE-P59-1_S5_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/005/ERR3596485
PRJEB34744	SAMEA6084782	ERX3592280	ERR3596486	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/006/ERR3596486/ERR3596486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/006/ERR3596486/ERR3596486_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596486/6-PE-P71-1_S6_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596486/6-PE-P71-1_S6_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/006/ERR3596486
PRJEB34744	SAMEA6084783	ERX3592281	ERR3596487	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/007/ERR3596487/ERR3596487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/007/ERR3596487/ERR3596487_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596487/8-PE-P83-1_S7_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596487/8-PE-P83-1_S7_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/007/ERR3596487
PRJEB34744	SAMEA6084784	ERX3592282	ERR3596488	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/008/ERR3596488/ERR3596488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/008/ERR3596488/ERR3596488_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596488/9-PE-P95-1_S8_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596488/9-PE-P95-1_S8_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/008/ERR3596488
PRJEB34744	SAMEA6084785	ERX3592283	ERR3596489	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/009/ERR3596489/ERR3596489_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/009/ERR3596489/ERR3596489_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596489/11-PE-P12-1_S9_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596489/11-PE-P12-1_S9_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/009/ERR3596489
PRJEB34744	SAMEA6084786	ERX3592284	ERR3596490	1632839	human vaginal metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/000/ERR3596490/ERR3596490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR359/000/ERR3596490/ERR3596490_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596490/12-PE-P24-1_S10_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR359/ERR3596490/12-PE-P24-1_S10_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR359/000/ERR3596490
